Date,Open,High,Low,Close,Adj Close,Volume
2020-08-06,57100,58400,57100,58000,55981.48828,21625874
2020-08-07,57900,58400,57100,57500,55498.89063,18751717
2020-08-10,57600,58300,57500,57800,55788.44922,17774291
2020-08-11,58000,59500,57800,58200,56174.53125,24907912
2020-08-12,58200,59000,57700,59000,56946.6875,18573934
2020-08-13,59400,59600,58000,58700,56657.13281,22089460
2020-08-14,58000,58400,57700,58000,55981.48828,15672548
2020-08-18,58900,59900,58000,58400,56367.56641,25307825
2020-08-19,59000,59200,57800,57800,55788.44922,16930719
2020-08-20,57600,57600,55300,55400,53471.97656,30386029
2020-08-21,56200,56900,55800,55900,53954.57422,21142288
2020-08-24,55800,56600,55400,56100,54147.60938,15055896
2020-08-25,56400,56800,56100,56400,54437.17578,14021705
2020-08-26,56400,56500,55700,56400,54437.17578,17651593
2020-08-27,56300,56300,55600,55600,53665.01172,16196568
2020-08-28,56100,56300,55400,55400,53471.97656,14619888
2020-08-31,56000,56100,54000,54000,52120.69531,32671367
2020-09-01,54100,54800,54100,54200,52313.73828,19363117
2020-09-02,54600,55100,54100,54400,52506.77734,16905723
2020-09-03,55600,56700,55500,56400,54437.17578,28384920
2020-09-04,55200,55800,55100,55600,53665.01172,22139109
2020-09-07,56100,57300,55800,56500,54533.69141,18685880
2020-09-08,57400,58700,57200,58700,56657.13281,31517520
2020-09-09,58200,59300,57800,58400,56367.56641,30597399
2020-09-10,59900,60000,59100,59200,57139.72656,29923293
2020-09-11,59300,59400,58200,59000,56946.6875,16017098
2020-09-14,60200,60800,59900,60400,58297.96484,20648281
2020-09-15,60900,61000,60500,61000,58877.08203,17877075
2020-09-16,61100,61300,60600,61000,58877.08203,17041444
2020-09-17,60700,60800,59300,59500,57429.28516,25108356
2020-09-18,59800,59900,59100,59300,57236.24609,18884571
2020-09-21,59100,60000,59000,59200,57139.72656,15140387
2020-09-22,59100,59700,57800,58200,56174.53125,20830381
2020-09-23,58400,58800,57400,58600,56560.60547,20111398
2020-09-24,57700,58600,57600,57800,55788.44922,17564020
2020-09-25,57700,58200,57700,57900,55884.96875,11444683
2020-09-28,58300,58800,57900,58200,56520.09375,12614080
2020-09-29,58300,59000,58200,58200,56520.09375,15503563
2020-10-05,57500,59200,57500,58700,57005.66016,20228289
2020-10-06,59400,59900,58700,59000,57297.00391,14463826
2020-10-07,58700,59900,58500,59900,58171.02344,14861838
2020-10-08,60500,60700,59500,59700,57976.79688,24589924
2020-10-12,60000,60400,59900,60400,58656.58984,16145837
2020-10-13,61000,61400,60400,60900,59142.16016,19247631
2020-10-14,61000,61100,60500,60900,59142.16016,16086716
2020-10-15,60700,60800,59700,60000,58268.13672,17756232
2020-10-16,60000,60400,59000,59500,57782.56641,16554190
2020-10-19,59600,60200,59500,60000,58268.13672,14474985
2020-10-20,60300,60900,60100,60900,59142.16016,19326115
2020-10-21,61200,61500,60600,60900,59142.16016,15703443
2020-10-22,60300,60500,59800,60100,58365.25391,14294095
2020-10-23,60400,60400,59800,60200,58462.36328,9322232
2020-10-26,60400,61100,60100,60400,58656.58984,13268226
2020-10-27,60300,60300,59500,59800,58073.91016,17260416
2020-10-28,59400,59400,58800,59000,57297.00391,14428882
2020-10-29,58200,58500,57500,58100,56422.98047,22636966
2020-10-30,58000,58000,56600,56600,54966.27734,26907844
2020-11-02,56400,57500,56000,57400,55743.18359,20489076
2020-11-03,57900,58900,57600,58800,57102.77734,14950919
2020-11-04,58900,59000,57800,58500,56811.43359,21718561
2020-11-05,59000,60300,58800,60300,58559.48047,20639475
2020-11-06,60700,60800,59600,60100,58365.25391,16910230
2020-11-09,60700,60900,60100,60200,58462.36328,15892961
2020-11-10,60500,60500,59500,60200,58462.36328,19073552
